Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
10000,10000.0,0.0976,36,credit_card,0.0713,FL,RENT,2733.33,"[730, 734]",7.0,6112.0,2.0,3 years,732
5200,5175.0,0.0999,60,debt_consolidation,0.1029,AL,MORTGAGE,3750.0,"[760, 764]",10.0,16094.0,0.0,< 1 year,762
22000,21975.0,0.2198,36,debt_consolidation,0.1119,TX,MORTGAGE,6666.67,"[665, 669]",9.0,23124.0,0.0,10+ years,667
30000,30000.0,0.1905,60,credit_card,0.2125,FL,MORTGAGE,6250.0,"[695, 699]",12.0,34927.0,0.0,6 years,697
6500,6500.0,0.1799,60,car,0.1963,FL,RENT,4100.0,"[665, 669]",11.0,11697.0,1.0,2 years,667
17400,17400.0,0.1199,36,credit_card,0.1247,AZ,RENT,6833.33,"[695, 699]",7.0,26587.0,0.0,7 years,697
4000,4000.0,0.1682,60,vacation,0.1371,GA,MORTGAGE,4500.0,"[670, 674]",5.0,20804.0,0.0,3 years,672
7200,7200.0,0.079,36,debt_consolidation,0.2482,TX,RENT,5416.67,"[705, 709]",8.0,12017.0,0.0,7 years,707
8000,8000.0,0.1442,36,debt_consolidation,0.2463,MA,RENT,2964.17,"[675, 679]",9.0,8928.0,2.0,6 years,677
8000,8000.0,0.1531,36,debt_consolidation,0.1546,CA,MORTGAGE,2916.67,"[675, 679]",13.0,7152.0,1.0,5 years,677
3000,3000.0,0.0859,36,other,0.0372,MA,MORTGAGE,4167.0,"[765, 769]",4.0,7074.0,0.0,5 years,767
14500,14500.0,0.079,36,debt_consolidation,0.0485,GA,MORTGAGE,3958.33,"[760, 764]",4.0,9598.0,0.0,4 years,762
23850,23850.0,0.21,60,debt_consolidation,0.2881,LA,MORTGAGE,5833.33,"[685, 689]",19.0,25968.0,3.0,9 years,687
14000,14000.0,0.1212,36,debt_consolidation,0.1493,CA,MORTGAGE,10583.33,"[685, 689]",9.0,35457.0,0.0,2 years,687
35000,34975.0,0.1649,60,debt_consolidation,0.0745,GA,MORTGAGE,10416.67,"[720, 724]",7.0,31414.0,0.0,8 years,722
16000,16000.0,0.158,60,car,0.1194,WV,RENT,5250.0,"[685, 689]",14.0,154.0,1.0,3 years,687
17350,7019.25,0.1355,36,debt_consolidation,0.1852,NH,OWN,3666.67,"[675, 679]",8.0,18966.0,2.0,6 years,677
8000,7975.0,0.079,36,car,0.2962,AL,MORTGAGE,5583.33,"[780, 784]",9.0,6065.0,1.0,10+ years,782
7200,7200.0,0.079,36,debt_consolidation,0.0798,GA,RENT,5666.67,"[720, 724]",5.0,8783.0,0.0,3 years,722
20125,20125.0,0.0762,36,home_improvement,0.0429,VA,MORTGAGE,3750.0,"[830, 834]",13.0,73952.0,0.0,1 year,832
12000,11875.0,0.089,36,debt_consolidation,0.1206,NY,RENT,5000.0,"[715, 719]",11.0,14717.0,0.0,4 years,717
2400,1850.0,0.1249,36,home_improvement,0.2056,MD,MORTGAGE,3448.33,"[660, 664]",10.0,18749.0,5.0,< 1 year,662
3200,3200.0,0.1727,36,home_improvement,0.0836,HI,MORTGAGE,2500.0,"[670, 674]",7.0,6619.0,1.0,3 years,672
12725,12725.0,0.1114,36,debt_consolidation,0.2215,TX,RENT,4416.67,"[720, 724]",23.0,4079.0,0.0,3 years,722
5500,5500.0,0.1913,36,credit_card,0.0358,DC,RENT,12000.0,"[660, 664]",2.0,0.0,1.0,8 years,662
15650,15650.0,0.2174,36,house,0.1386,MD,RENT,3700.0,"[660, 664]",5.0,10605.0,1.0,4 years,662
9000,9000.0,0.1727,36,credit_card,0.2522,CA,RENT,5166.67,"[675, 679]",14.0,5852.0,1.0,10+ years,677
5000,5000.0,0.1186,36,major_purchase,0.04,TX,RENT,5577.0,"[715, 719]",3.0,1069.0,0.0,1 year,717
3000,3000.0,0.1038,36,debt_consolidation,0.1521,PA,RENT,3083.33,"[710, 714]",11.0,3098.0,0.0,2 years,712
20000,19975.0,0.2391,60,debt_consolidation,0.0947,CA,MORTGAGE,11250.0,"[670, 674]",5.0,11168.0,0.0,< 1 year,672
5450,5450.0,0.0749,60,other,0.0248,WA,MORTGAGE,4600.0,"[785, 789]",14.0,4326.0,0.0,10+ years,787
14000,14000.0,0.1212,36,debt_consolidation,0.1138,NY,MORTGAGE,4500.0,"[705, 709]",22.0,18583.0,0.0,5 years,707
8800,8799.04,0.1038,60,credit_card,0.2159,IL,RENT,3750.0,"[750, 754]",11.0,18694.0,1.0,2 years,752
3000,3000.0,0.1744,36,other,0.1579,MD,RENT,7952.0,"[660, 664]",4.0,12578.0,0.0,8 years,662
32000,32000.0,0.1727,60,debt_consolidation,0.1561,IL,RENT,9250.0,"[700, 704]",15.0,32566.0,1.0,2 years,702
22250,22250.0,0.2149,60,debt_consolidation,0.2887,HI,RENT,4166.67,"[665, 669]",15.0,14107.0,0.0,9 years,667
7325,7300.0,0.178,60,debt_consolidation,0.2037,NY,OWN,3000.0,"[680, 684]",6.0,13583.0,0.0,5 years,682
16450,16450.0,0.1114,36,debt_consolidation,0.0757,NC,RENT,7500.0,"[725, 729]",5.0,2928.0,0.0,1 year,727
2500,2500.0,0.1298,36,debt_consolidation,0.1645,WI,RENT,1100.0,"[670, 674]",6.0,5019.0,1.0,4 years,672
6000,6000.0,0.0999,36,other,0.075,FL,MORTGAGE,2625.0,"[715, 719]",4.0,5167.0,0.0,10+ years,717
27575,27575.0,0.1433,36,debt_consolidation,0.1963,CA,MORTGAGE,5166.67,"[690, 694]",6.0,8720.0,0.0,10+ years,692
1000,1000.0,0.0859,36,educational,0.1069,NY,OWN,4583.33,"[755, 759]",22.0,17069.0,1.0,< 1 year,757
12000,12000.0,0.1149,36,debt_consolidation,0.1285,IL,RENT,2708.33,"[705, 709]",8.0,12150.0,1.0,< 1 year,707
30000,30000.0,0.1016,36,debt_consolidation,0.2221,SD,MORTGAGE,8000.0,"[715, 719]",14.0,33218.0,0.0,10+ years,717
13500,13500.0,0.1433,36,debt_consolidation,0.317,WV,RENT,4166.67,"[680, 684]",11.0,31168.0,0.0,1 year,682
9000,9000.0,0.158,36,debt_consolidation,0.2265,OH,MORTGAGE,3250.0,"[665, 669]",9.0,16480.0,0.0,3 years,667
15000,15000.0,0.0991,36,debt_consolidation,0.0916,AK,MORTGAGE,4250.0,"[730, 734]",11.0,11615.0,1.0,10+ years,732
5300,5300.0,0.079,36,medical,0.1282,CA,RENT,5500.0,"[725, 729]",8.0,9996.0,2.0,1 year,727
7000,7000.0,0.1311,36,debt_consolidation,0.1676,NJ,RENT,3650.0,"[685, 689]",12.0,6444.0,1.0,5 years,687
20000,19975.0,0.1629,36,debt_consolidation,0.1185,CA,RENT,9166.67,"[685, 689]",10.0,12421.0,3.0,< 1 year,687
15000,14993.57,0.1825,60,debt_consolidation,0.1365,CA,RENT,2916.67,"[705, 709]",4.0,12786.0,0.0,< 1 year,707
8000,8000.0,0.1409,36,home_improvement,0.1206,HI,RENT,5000.0,"[695, 699]",10.0,15360.0,1.0,6 years,697
24000,23947.48,0.1903,60,debt_consolidation,0.0363,CA,RENT,7500.0,"[695, 699]",6.0,8568.0,1.0,10+ years,697
7500,7500.0,0.089,36,debt_consolidation,0.1002,DE,RENT,5500.0,"[715, 719]",9.0,2382.0,0.0,6 years,717
17000,16875.0,0.1183,36,debt_consolidation,0.127,GA,RENT,4583.33,"[735, 739]",5.0,3644.0,1.0,6 years,737
12000,12000.0,0.1727,36,credit_card,0.1486,NJ,OWN,4583.33,"[665, 669]",12.0,9145.0,1.0,10+ years,667
6000,6000.0,0.1531,36,other,0.1591,MN,RENT,3833.33,"[670, 674]",11.0,5760.0,1.0,10+ years,672
6725,825.0,0.1312,36,debt_consolidation,0.1316,MO,MORTGAGE,5000.0,"[670, 674]",10.0,5513.0,9.0,10+ years,672
4500,4500.0,0.0676,36,debt_consolidation,0.1474,WV,MORTGAGE,2666.67,"[790, 794]",7.0,2705.0,0.0,7 years,792
1600,1600.0,0.1083,36,other,0.0536,RI,RENT,2427.0,"[700, 704]",5.0,7020.0,0.0,3 years,702
10000,10000.0,0.1777,36,wedding,0.304,NY,OWN,2500.0,"[665, 669]",5.0,8379.0,0.0,8 years,667
18550,18525.0,0.079,36,debt_consolidation,0.1693,GA,MORTGAGE,5416.67,"[725, 729]",10.0,28877.0,0.0,3 years,727
7450,7450.0,0.1306,36,debt_consolidation,0.033,WA,MORTGAGE,5883.33,"[710, 714]",2.0,6416.0,1.0,10+ years,712
3225,3225.0,0.0762,36,debt_consolidation,0.1779,CA,MORTGAGE,5833.33,"[760, 764]",5.0,70323.0,1.0,10+ years,762
23675,23675.0,0.1777,36,credit_card,0.2994,PA,OWN,6399.0,"[680, 684]",21.0,21920.0,0.0,10+ years,682
12000,12000.0,0.1212,36,debt_consolidation,0.1862,VA,RENT,5833.33,"[690, 694]",16.0,18838.0,0.0,10+ years,692
25000,25000.0,0.1649,36,debt_consolidation,0.1818,MA,RENT,6000.0,"[695, 699]",9.0,10630.0,2.0,7 years,697
16000,15850.0,0.1112,36,credit_card,0.1786,CA,MORTGAGE,6666.67,"[725, 729]",7.0,18659.0,4.0,5 years,727
4200,4175.0,0.089,36,car,0.1016,NC,MORTGAGE,3041.67,"[810, 814]",4.0,1548.0,0.0,10+ years,812
10000,10000.0,0.1409,36,debt_consolidation,0.2145,CO,RENT,4583.33,"[675, 679]",11.0,8548.0,0.0,6 years,677
6000,6000.0,0.0751,36,home_improvement,0.0252,NJ,MORTGAGE,4800.0,"[750, 754]",4.0,1442.0,0.0,10+ years,752
6000,6000.0,0.1311,36,debt_consolidation,0.1533,KS,RENT,3333.33,"[685, 689]",7.0,12503.0,2.0,2 years,687
7925,7925.0,0.1629,36,debt_consolidation,0.2125,GA,RENT,2000.0,"[665, 669]",6.0,7840.0,0.0,6 years,667
16000,15925.0,0.0762,36,debt_consolidation,0.0648,IL,MORTGAGE,6000.0,"[765, 769]",8.0,19539.0,0.0,n/a,767
9525,9500.0,0.1581,36,small_business,0.1135,CA,RENT,2666.67,"[670, 674]",15.0,5610.0,1.0,n/a,672
6000,6000.0,0.1435,36,debt_consolidation,0.1408,IL,MORTGAGE,2500.0,"[675, 679]",9.0,3621.0,3.0,< 1 year,677
10000,9975.0,0.1496,36,debt_consolidation,0.115,FL,MORTGAGE,5250.0,"[675, 679]",4.0,3035.0,5.0,2 years,677
7000,7000.0,0.0662,36,major_purchase,0.0803,NM,MORTGAGE,10000.0,"[750, 754]",9.0,6761.0,1.0,6 years,752
4500,4500.0,0.0599,36,debt_consolidation,0.1848,CA,MORTGAGE,10000.0,"[765, 769]",18.0,17863.0,3.0,6 years,767
12000,12000.0,0.1114,36,debt_consolidation,0.0237,MD,MORTGAGE,12500.0,"[735, 739]",13.0,10944.0,0.0,5 years,737
10375,10375.0,0.1972,36,debt_consolidation,0.0499,CT,RENT,4166.67,"[665, 669]",9.0,6122.0,1.0,5 years,667
4800,4800.0,0.1875,36,other,0.1089,NM,MORTGAGE,5833.33,"[670, 674]",8.0,17943.0,0.0,10+ years,672
6400,6400.0,0.1311,36,credit_card,0.1146,LA,MORTGAGE,4666.67,"[700, 704]",7.0,8942.0,1.0,10+ years,702
5000,5000.0,0.079,36,debt_consolidation,0.1722,CA,OWN,4000.0,"[705, 709]",10.0,6023.0,0.0,10+ years,707
12000,12000.0,0.0662,36,credit_card,0.2166,NC,RENT,5250.0,"[740, 744]",11.0,20639.0,0.0,< 1 year,742
23850,23820.25,0.2148,60,other,0.1875,NY,MORTGAGE,4250.0,"[690, 694]",23.0,37251.0,0.0,4 years,692
15000,15000.0,0.1065,36,small_business,0.1615,OH,MORTGAGE,7083.33,"[720, 724]",14.0,338.0,2.0,9 years,722
8000,8000.0,0.0762,36,other,0.0,NC,MORTGAGE,3500.0,"[765, 769]",7.0,0.0,1.0,n/a,767
20000,20000.0,0.0603,36,credit_card,0.1867,FL,MORTGAGE,14583.33,"[715, 719]",9.0,29044.0,0.0,7 years,717
20000,19975.0,0.1311,36,debt_consolidation,0.1509,NC,RENT,8233.33,"[710, 714]",17.0,29756.0,2.0,< 1 year,712
10000,10000.0,0.1409,36,debt_consolidation,0.1059,CA,RENT,2916.67,"[690, 694]",9.0,10390.0,3.0,< 1 year,692
18825,18825.0,0.1409,36,credit_card,0.1308,MI,RENT,4000.0,"[710, 714]",6.0,20694.0,1.0,4 years,712
35000,34975.0,0.079,36,small_business,0.0159,IL,RENT,18333.33,"[775, 779]",10.0,1992.0,0.0,1 year,777
9000,9000.0,0.0603,36,vacation,0.0558,NJ,MORTGAGE,9583.33,"[815, 819]",11.0,675.0,0.0,n/a,817
4000,4000.0,0.0617,36,home_improvement,0.15,CT,RENT,4234.0,"[745, 749]",5.0,587.0,1.0,2 years,747
5750,5750.0,0.1399,36,credit_card,0.1244,CA,RENT,5000.0,"[660, 664]",13.0,12465.0,0.0,10+ years,662
20950,20950.0,0.158,36,debt_consolidation,0.1571,MA,MORTGAGE,12916.67,"[690, 694]",8.0,30188.0,1.0,4 years,692
8000,8000.0,0.1099,36,credit_card,0.1476,NY,RENT,7500.0,"[710, 714]",9.0,7120.0,2.0,< 1 year,712
10000,10000.0,0.1016,36,debt_consolidation,0.093,TX,MORTGAGE,3333.33,"[725, 729]",8.0,8940.0,2.0,n/a,727
10000,10000.0,0.1409,36,small_business,0.1476,NY,RENT,5000.0,"[675, 679]",7.0,4762.0,0.0,4 years,677
14000,14000.0,0.0603,36,credit_card,0.1953,CT,MORTGAGE,6000.0,"[765, 769]",13.0,4140.0,0.0,8 years,767
5000,5000.0,0.0766,36,credit_card,0.0333,RI,RENT,9000.0,"[735, 739]",3.0,12297.0,0.0,10+ years,737
25000,25000.0,0.1905,60,debt_consolidation,0.1053,IL,MORTGAGE,6250.0,"[700, 704]",8.0,15159.0,1.0,9 years,702
35000,35000.0,0.089,36,debt_consolidation,0.1462,CA,RENT,10416.67,"[735, 739]",9.0,21321.0,0.0,10+ years,737
7200,7175.0,0.1114,36,debt_consolidation,0.2789,OK,MORTGAGE,3750.0,"[690, 694]",8.0,20342.0,0.0,10+ years,692
14000,14000.0,0.0849,60,debt_consolidation,0.0989,CA,MORTGAGE,9000.0,"[760, 764]",17.0,23773.0,0.0,4 years,762
15000,14975.0,0.1521,36,debt_consolidation,0.191,TX,RENT,5132.0,"[680, 684]",4.0,34044.0,1.0,3 years,682
25000,25000.0,0.1972,60,debt_consolidation,0.321,NY,OWN,4916.67,"[695, 699]",21.0,35208.0,1.0,7 years,697
10800,10800.0,0.1465,36,debt_consolidation,0.0789,CA,RENT,9583.33,"[675, 679]",6.0,6487.0,1.0,< 1 year,677
20000,20000.0,0.1433,36,credit_card,0.2144,GA,MORTGAGE,6250.0,"[700, 704]",9.0,14268.0,1.0,9 years,702
4000,4000.0,0.1074,36,debt_consolidation,0.0197,KS,RENT,2900.0,"[695, 699]",13.0,1869.0,1.0,n/a,697
16000,15950.0,0.157,36,debt_consolidation,0.2351,OH,MORTGAGE,9333.33,"[675, 679]",20.0,12721.0,5.0,10+ years,677
1400,1400.0,0.0976,36,vacation,0.2714,NV,MORTGAGE,4683.33,"[730, 734]",6.0,6466.0,0.0,2 years,732
7500,7500.0,0.1632,36,debt_consolidation,0.1254,CA,MORTGAGE,4600.0,"[665, 669]",3.0,6120.0,0.0,2 years,667
24625,917.28,0.1407,36,credit_card,0.1281,NY,MORTGAGE,10000.0,"[675, 679]",14.0,33698.0,0.0,8 years,677
5000,5000.0,0.1409,36,debt_consolidation,0.2902,FL,MORTGAGE,5416.67,"[680, 684]",11.0,3977.0,1.0,< 1 year,682
25000,24975.0,0.0991,36,debt_consolidation,0.2049,NY,RENT,7916.67,"[725, 729]",14.0,27203.0,0.0,1 year,727
7500,7500.0,0.164,36,debt_consolidation,0.1334,CA,RENT,4166.67,"[660, 664]",8.0,7430.0,0.0,< 1 year,662
34500,34450.0,0.0662,36,small_business,0.1646,CA,MORTGAGE,10000.0,"[805, 809]",8.0,5317.0,0.0,9 years,807
10000,10000.0,0.0579,36,debt_consolidation,0.0649,GA,MORTGAGE,12500.0,"[745, 749]",17.0,75629.0,0.0,1 year,747
3200,3200.0,0.0988,36,debt_consolidation,0.0651,MA,RENT,4500.0,"[740, 744]",7.0,3198.0,0.0,5 years,742
5500,5500.0,0.1599,60,debt_consolidation,0.1795,RI,RENT,4250.0,"[700, 704]",16.0,13256.0,0.0,10+ years,702
3000,3000.0,0.0976,36,debt_consolidation,0.2182,VA,OWN,1100.0,"[720, 724]",4.0,2413.0,0.0,n/a,722
18000,18000.0,0.2328,60,debt_consolidation,0.0905,WI,RENT,7083.33,"[660, 664]",6.0,13106.0,0.0,10+ years,662
10000,9700.0,0.0963,36,debt_consolidation,0.1377,OK,MORTGAGE,4190.0,"[735, 739]",6.0,1251.0,1.0,< 1 year,737
8800,8800.0,0.1311,36,credit_card,0.1673,WI,RENT,3150.25,"[700, 704]",13.0,14266.0,1.0,4 years,702
7000,7000.0,0.1114,36,debt_consolidation,0.2302,TX,MORTGAGE,6000.0,"[705, 709]",17.0,19634.0,2.0,6 years,707
8000,8000.0,0.1311,36,debt_consolidation,0.1901,AK,RENT,2625.0,"[725, 729]",8.0,7554.0,1.0,5 years,727
3000,3000.0,0.1727,36,credit_card,0.1662,SC,RENT,3833.33,"[660, 664]",4.0,4136.0,0.0,n/a,662
12000,11975.0,0.0751,36,debt_consolidation,0.1191,MD,RENT,7500.0,"[735, 739]",18.0,33702.0,1.0,10+ years,737
3600,3575.0,0.1411,36,small_business,0.0004,WI,RENT,2500.0,"[725, 729]",4.0,1.0,0.0,3 years,727
11625,11625.0,0.1433,36,debt_consolidation,0.2284,NY,MORTGAGE,2833.33,"[705, 709]",6.0,27411.0,2.0,8 years,707
30000,30000.0,0.2149,36,credit_card,0.167,MD,MORTGAGE,12500.0,"[670, 674]",14.0,19096.0,2.0,9 years,672
16000,16000.0,0.089,36,debt_consolidation,0.1971,CO,RENT,7083.33,"[720, 724]",11.0,6185.0,1.0,4 years,722
10800,10700.0,0.1075,36,major_purchase,0.1532,FL,MORTGAGE,8400.0,"[715, 719]",6.0,24675.0,0.0,10+ years,717
25000,23655.48,0.1669,60,debt_consolidation,0.1411,CO,MORTGAGE,7666.67,"[705, 709]",15.0,28748.0,3.0,8 years,707
10000,10000.0,0.1398,60,other,0.1486,MO,RENT,3916.67,"[710, 714]",9.0,5188.0,4.0,4 years,712
12375,275.0,0.1091,36,small_business,0.1639,VA,MORTGAGE,3892.75,"[690, 694]",11.0,8332.0,2.0,3 years,692
6000,6000.0,0.1148,36,credit_card,0.182,NY,MORTGAGE,5031.67,"[705, 709]",9.0,50935.0,0.0,10+ years,707
8000,8000.0,0.1349,36,debt_consolidation,0.1492,CO,RENT,5000.0,"[685, 689]",18.0,4786.0,1.0,2 years,687
15000,15000.0,0.1825,36,credit_card,0.0973,GA,MORTGAGE,5000.0,"[660, 664]",11.0,14596.0,0.0,8 years,662
7000,7000.0,0.1777,36,other,0.3225,NY,RENT,3333.33,"[665, 669]",12.0,35604.0,3.0,7 years,667
8400,8400.0,0.0692,36,renewable_energy,0.133,MD,RENT,3000.0,"[745, 749]",9.0,6998.0,1.0,1 year,747
15000,15000.0,0.079,36,debt_consolidation,0.1862,PA,MORTGAGE,4500.0,"[740, 744]",10.0,17212.0,0.0,7 years,742
15000,14925.0,0.1433,36,debt_consolidation,0.133,TX,RENT,5000.0,"[665, 669]",7.0,11368.0,1.0,< 1 year,667
2800,2800.0,0.1016,36,major_purchase,0.12,NY,RENT,2083.33,"[695, 699]",7.0,7261.0,0.0,< 1 year,697
7750,7750.0,0.1629,36,debt_consolidation,0.2674,FL,MORTGAGE,2916.67,"[680, 684]",18.0,17102.0,0.0,5 years,682
4500,4500.0,0.089,36,credit_card,0.1818,UT,RENT,2166.67,"[700, 704]",8.0,5361.0,0.0,4 years,702
17500,17375.0,0.1253,36,debt_consolidation,0.2163,CO,RENT,3666.67,"[715, 719]",7.0,20010.0,0.0,6 years,717
18000,18000.0,0.1531,60,debt_consolidation,0.0493,CA,RENT,5258.5,"[710, 714]",6.0,11596.0,0.0,10+ years,712
15000,14975.0,0.1527,60,debt_consolidation,0.179,PA,MORTGAGE,2748.0,"[720, 724]",14.0,7956.0,1.0,6 years,722
6000,6000.0,0.1523,36,credit_card,0.1957,KS,OWN,4583.33,"[665, 669]",13.0,8077.0,1.0,1 year,667
11500,11475.0,0.1114,36,credit_card,0.2825,CA,RENT,2750.0,"[700, 704]",6.0,9079.0,0.0,5 years,702
10000,10000.0,0.1311,36,credit_card,0.0756,PA,RENT,2500.0,"[685, 689]",8.0,10906.0,0.0,7 years,687
12000,12000.0,0.089,36,credit_card,0.1246,MD,RENT,5000.0,"[725, 729]",5.0,13940.0,0.0,10+ years,727
10000,10000.0,0.1212,36,debt_consolidation,0.184,CA,MORTGAGE,5000.0,"[685, 689]",7.0,13202.0,0.0,10+ years,687
35000,34975.0,0.2128,60,debt_consolidation,0.1821,AL,RENT,7916.67,"[680, 684]",8.0,19789.0,2.0,10+ years,682
7200,7100.0,0.1038,60,major_purchase,0.1797,PA,RENT,3000.0,"[750, 754]",7.0,2753.0,1.0,2 years,752
4000,3975.0,0.079,60,car,0.0448,TX,OWN,4000.0,"[800, 804]",16.0,6696.0,0.0,< 1 year,802
5300,5200.0,0.1114,36,debt_consolidation,0.0847,UT,MORTGAGE,8333.33,"[740, 744]",5.0,73258.0,1.0,3 years,742
1200,1200.0,0.0762,36,other,0.0869,NY,MORTGAGE,3833.33,"[730, 734]",14.0,350.0,1.0,7 years,732
2500,2500.0,0.1114,36,major_purchase,0.1008,CA,RENT,4333.33,"[720, 724]",4.0,4922.0,0.0,3 years,722
17000,16975.0,0.1433,36,debt_consolidation,0.2635,MN,OWN,7500.0,"[700, 704]",21.0,39130.0,3.0,10+ years,702
16000,16000.0,0.079,36,credit_card,0.123,CA,MORTGAGE,8416.67,"[695, 699]",14.0,21913.0,1.0,5 years,697
10000,9950.0,0.1269,36,debt_consolidation,0.038,CA,MORTGAGE,6666.67,"[695, 699]",8.0,7967.0,1.0,3 years,697
5000,5000.0,0.1016,36,debt_consolidation,0.245,AL,MORTGAGE,6250.0,"[700, 704]",9.0,33705.0,0.0,6 years,702
4375,4375.0,0.1905,36,credit_card,0.0909,CA,RENT,2916.67,"[670, 674]",9.0,6944.0,2.0,6 years,672
8500,8475.0,0.0603,36,home_improvement,0.1233,MO,MORTGAGE,6100.0,"[745, 749]",17.0,6370.0,0.0,10+ years,747
12000,12000.0,0.1689,60,small_business,0.1524,OH,MORTGAGE,7500.0,"[675, 679]",14.0,28589.0,2.0,3 years,677
6200,6100.0,0.0859,36,other,0.191,WI,RENT,5000.0,"[740, 744]",17.0,9367.0,0.0,1 year,742
7000,7000.0,0.1849,36,debt_consolidation,0.189,AR,MORTGAGE,2000.0,"[660, 664]",10.0,7315.0,2.0,1 year,662
20800,20800.0,0.1269,60,debt_consolidation,0.0708,GA,MORTGAGE,6541.67,"[730, 734]",9.0,13197.0,0.0,1 year,732
19200,19200.0,0.1311,60,other,0.0345,IL,MORTGAGE,8333.33,"[745, 749]",14.0,50625.0,3.0,2 years,747
22000,22000.0,0.158,60,debt_consolidation,0.2132,KY,MORTGAGE,5416.67,"[700, 704]",9.0,10267.0,1.0,10+ years,702
15000,15000.0,0.1905,36,debt_consolidation,0.2488,AZ,RENT,6000.0,"[675, 679]",12.0,12162.0,0.0,1 year,677
7000,6965.1,0.1947,36,debt_consolidation,0.1708,NJ,RENT,5000.0,"[665, 669]",11.0,13859.0,0.0,3 years,667
20000,20000.0,0.089,36,credit_card,0.1708,CO,RENT,4916.67,"[730, 734]",10.0,14952.0,2.0,4 years,732
2000,2000.0,0.0617,36,moving,0.1835,WA,RENT,5733.58,"[745, 749]",9.0,21998.0,0.0,3 years,747
18000,17738.58,0.1059,60,major_purchase,0.1503,OH,MORTGAGE,4000.0,"[755, 759]",9.0,6718.0,0.0,10+ years,757
20800,20775.0,0.1148,36,home_improvement,0.2177,CA,OWN,11666.67,"[790, 794]",6.0,682.0,1.0,10+ years,792
9000,8875.0,0.0788,36,debt_consolidation,0.1451,MA,MORTGAGE,5708.33,"[725, 729]",9.0,12217.0,0.0,7 years,727
6000,6000.0,0.1409,36,credit_card,0.225,UT,RENT,2666.67,"[670, 674]",18.0,5955.0,0.0,10+ years,672
5000,5000.0,0.158,36,debt_consolidation,0.342,CA,RENT,3750.0,"[665, 669]",18.0,5414.0,3.0,3 years,667
12000,11975.0,0.1483,60,credit_card,0.2231,CA,RENT,4186.0,"[685, 689]",9.0,9398.0,0.0,3 years,687
7000,1998.0,0.08,36,credit_card,0.0636,AZ,MORTGAGE,7583.33,"[750, 754]",9.0,21135.0,0.0,10+ years,752
